Population and dwelling counts,"Population, 2021","Total private dwellings, 2021","Private dwellings occupied by usual residents, 2021"
L5S,27,6,4
L5T,19,5,5
L5V,49149,13962,13631
L5W,24145,6470,6307
L6A,89287,27080,26517
L6B,34763,10373,10137
L6C,51738,16291,15918
L6E,38387,11924,11696
L6G,8364,4916,4521
L6H,72662,25860,24806
L6J,24420,8656,8357
L6K,14118,6598,6258
L6L,30012,11714,11293
L6M,72547,23351,22844
L6P,91155,21549,20994
L6R,93783,23902,23263
L6S,54361,17297,16844
L6T,39614,14127,13595
L6V,42392,14632,13902
L6W,23547,8735,8305
L6X,76113,21772,20935
L6Y,97601,28798,27587
L6Z,33888,10472,10083
L7A,104009,27796,26958
L7B,17809,5790,5570
L7C,33846,9967,9567
L7E,34516,11754,11292
L7G,48051,16847,16558
L7J,13766,5110,4999
L7K,8486,3164,2928
L7L,47433,17852,17521
L7M,48498,17184,16929
L7N,13160,5469,5381
L7P,29777,11060,10874
L7R,17338,8675,8303
L7S,12207,6368,6167
L7T,18555,8287,8012
L8B,25778,9053,8902
L8E,41927,15736,15316
L8G,21805,9518,9313
L8H,26187,11792,11242
L8J,29146,9465,9304
L8K,32598,14405,13941
L8L,32312,14444,13112
L8M,13774,7096,6381
L8N,15568,8630,7670
L8P,24773,14969,13561
L8R,11651,6113,5600
L8S,15787,8714,7186
L8T,19405,7948,7779
L8V,21165,9662,9355
L8W,26077,8612,8495
L9A,25899,10346,10117
L9B,25025,8461,8338
L9C,41202,15123,14732
L9E,16933,5075,4881
L9G,25020,9180,8974
L9H,31221,12828,12509
L9J,2272,1138,1062
L9K,15928,5138,4972
L9L,14620,5910,5644
L9M,16607,9066,6660
L9N,21656,7297,7035
L9P,17383,6770,6522
L9R,25949,9929,9648
L9S,33434,13557,12132
L9T,110956,34110,33406
L9V,17750,6657,6111
L9W,48790,17840,17309
L9X,12896,4326,4237
L9Y,28925,17262,13077
L9Z,24849,13761,10805
M1B,65555,21561,20563
M1C,35642,11724,11396
M1E,48033,18085,17320
M1G,30894,10791,10313
M1H,23964,9021,8632
M1J,37002,13253,12633
M1K,48175,18687,17709
M1L,35833,13177,12559
M1M,23258,9067,8641
M1N,22976,10056,9521
M1P,45170,17308,16491
M1R,30467,11476,10919
M1S,37663,14021,13328
M1T,34607,13826,13232
M1V,50825,16556,15962
M1W,47070,17294,16735
M1X,14810,3808,3720
M2H,23396,8953,8560
M2J,61761,25487,24215
M2K,25377,12626,11687
M2L,11274,4181,3938
M2M,31915,13259,12495
M2N,75100,36968,34137
M2P,7546,3152,2984
M2R,40581,16189,15363
M3A,34361,13705,13127
M3B,12880,5178,4959
M3C,39616,17146,16247
M3H,38416,15630,14767
M3J,26600,10445,9708
M3K,7865,3100,2945
M3L,19263,6700,6396
M3M,24906,9962,9519
M3N,40846,14308,13632
M4A,14589,6303,6060
M4B,18612,8038,7611
M4C,46440,20553,19159
M4E,25473,11581,10874
M4G,19598,8622,8078
M4H,18698,6419,6061
M4J,35128,15338,14586
M4K,30913,15139,14194
M4L,32218,14789,13751
M4M,25052,12249,11443
M4N,16058,6669,6226
M4P,25057,16696,13974
M4R,11909,5989,5420
M4S,30754,17169,15719
M4T,10332,5619,5099
M4V,19273,11403,10190
M4W,15296,9238,8071
M4X,19896,11142,9874
M4Y,36319,26472,22734
M5A,48978,30508,27320
M5B,17422,13071,10544
M5C,3149,2306,1884
M5E,11779,8246,7270
M5G,9751,7198,5738
M5H,3248,2355,1886
M5J,16879,11928,10158
M5M,25495,9726,9275
M5N,16154,6724,6293
M5P,19791,10417,9537
M5R,26197,16591,13845
M5S,17074,10971,9018
M5T,17903,10452,9012
M5V,59912,42449,37165
M6A,22380,9803,9211
M6B,28534,11630,10997
M6C,23997,11093,10196
M6E,37684,16172,14852
M6G,30600,14329,13032
M6H,43730,21284,19264
M6J,32111,17027,15453
M6K,42110,25403,22726
M6L,20156,7721,7323
M6M,42148,16883,15913
M6N,40252,16981,15956
M6P,39870,20750,19019
M6R,19349,9255,8479
M6S,34029,15343,14517
M7A,5,5,3
M8V,44144,24434,22829
M8W,22381,9994,9402
M8X,10624,4814,4580
M8Y,21986,10533,9984
M8Z,19312,7784,7461
M9A,36642,16604,15708
M9B,33236,13246,12698
