FSA,Number of Returns,Total Income,Median Total Income,Average Total Income
L0C,7900,509546000,51599,64499
L0E,17110,899556000,42059,52574
L0G,35550,2455268000,55252,69065
L0H,950,77161000,64977,81222
L0J,4080,557162000,109247,136559
L0K,31300,1713961000,43807,54759
L0L,34010,2180290000,51285,64107
L0M,28630,1605039000,44848,56061
L0N,2130,134811000,50632,63291
L0P,6340,567662000,71628,89536
L0R,67640,4295247000,50800,63501
L0S,50090,3327580000,53145,66432
L1A,13200,766186000,46435,58044
L1B,10460,650540000,49754,62193
L1C,37370,2234834000,47841,59802
L1E,22350,1405788000,50318,62898
L1G,34920,1705351000,39068,48835
L1H,24840,1162187000,37428,46786
L1J,33240,1553202000,37380,46726
L1K,33200,1845459000,44468,55586
L1L,9340,481312000,41225,51532
L1M,16430,1327829000,64653,80817
L1N,39360,2387800000,48532,60665
L1P,17490,1113003000,50908,63636
L1R,33170,2196806000,52982,66228
L1S,33490,1828942000,43688,54611
L1T,41900,2287014000,43665,54582
L1V,42580,2635331000,49512,61891
L1W,14900,976693000,52439,65549
L1X,19820,1164753000,47012,58766
L1Y,1730,172134000,79599,99499
L1Z,23600,1380270000,46788,58486
L2A,13740,630622000,36716,45896
L2E,15360,600555000,31278,39098
L2G,24730,1035055000,33483,41854
L2H,24320,1189589000,39131,48914
L2J,12750,668188000,41924,52406
L2M,27080,1249230000,36904,46131
L2N,25510,1419797000,44524,55656
L2P,12020,515386000,34301,42877
L2R,20060,954544000,38067,47584
L2S,16280,811385000,39871,49839
L2T,9570,513266000,42905,53632
L2V,15740,705343000,35849,44812
L2W,1640,109977000,53647,67059
L3B,19960,848254000,33997,42497
L3C,27520,1331760000,38713,48392
L3J,190,1908000,8033,10042
L3K,15550,745233000,38339,47924
L3L,670,87174000,104088,130110
L3M,22650,1544468000,54550,68188
L3P,31620,2142907000,54216,67770
